Business Date,Business Hour,Location Name,Net Sales Total  (Sum),Number of Guests  (Sum)
6/16/2019,6:00 AM - 6:59 AM,3,1,1
6/16/2019,12:00 PM - 12:59 PM,3,232.06,13
6/16/2019,3:00 PM - 3:59 PM,3,325.25,11
6/16/2019,3:00 PM - 3:59 PM,3,64.86,4
6/16/2019,6:00 PM - 6:59 PM,3,354.54,19
6/16/2019,7:00 PM - 7:59 PM,3,256.71,10
6/16/2019,7:00 PM - 7:59 PM,3,457.77,20
6/16/2019,9:00 PM - 9:59 PM,3,212.4,6
6/16/2019,9:00 PM - 9:59 PM,3,48.4,1
6/17/2019,8:00 AM - 8:59 AM,3,9.99,2
6/17/2019,9:00 AM - 9:59 AM,3,30.63,2
6/17/2019,10:00 AM - 10:59 AM,3,0,0
6/17/2019,1:00 PM - 1:59 PM,3,247.39,16
6/17/2019,4:00 PM - 4:59 PM,3,19,0
6/17/2019,6:00 PM - 6:59 PM,3,474.78,22
6/17/2019,8:00 PM - 8:59 PM,3,255.14,3
6/17/2019,10:00 PM - 10:59 PM,3,-29.19,0
6/17/2019,9:00 AM - 9:59 AM,3,101.89,5
6/17/2019,9:00 AM - 9:59 AM,3,222.6,9
6/17/2019,10:00 AM - 10:59 AM,3,22.08,1
6/17/2019,1:00 PM - 1:59 PM,3,24,6
6/17/2019,3:00 PM - 3:59 PM,3,36.78,3
6/17/2019,4:00 PM - 4:59 PM,3,0,0
6/17/2019,9:00 PM - 9:59 PM,3,110.33,4
6/17/2019,10:00 PM - 10:59 PM,3,-6.45,0
6/17/2019,10:00 PM - 10:59 PM,3,0,0
6/17/2019,8:00 AM - 8:59 AM,3,31.34,0
